x r i
-7.815631262525050360e+00 2.134668890725347368e-03 -5.563498306096924945e-02
-7.735470941883768603e+00 6.844253737223409718e-03 -5.748157869298216316e-02
-7.655310621242485070e+00 1.187416957062977473e-02 -5.897957435667888770e-02
-7.575150300601203313e+00 1.720276541291073866e-02 -6.008871595903757246e-02
-7.494989979959919779e+00 2.280391996738858132e-02 -6.076960303169574862e-02
-7.414829659318638022e+00 2.864699901744829219e-02 -6.098415360820388931e-02
-7.334669338677354489e+00 3.469685909179483219e-02 -6.069608600608354665e-02
-7.254509018036072732e+00 4.091390037044224243e-02 -5.987141308012712548e-02
-7.174348697394790975e+00 4.725417139870478206e-02 -5.847894408134918232e-02
-7.094188376753507441e+00 5.366952771175900749e-02 -5.649078885902857061e-02
-7.014028056112225684e+00 6.010784595256669915e-02 -5.388285878876781371e-02
-6.933867735470942151e+00 6.651329449468722232e-02 -5.063535850468760258e-02
-6.853707414829660394e+00 7.282666096329909466e-02 -4.673326226575634512e-02
-6.773547094188376860e+00 7.898573638806531683e-02 -4.216676860142061500e-02
-6.693386773547095103e+00 8.492575502661951770e-02 -3.693172676626493151e-02
-6.613226452905811570e+00 9.057988817464122933e-02 -3.103002849285917131e-02
-6.533066132264529813e+00 9.587978953565844120e-02 -2.446995857102528954e-02
-6.452905811623246279e+00 1.007561889695893359e-01 -1.726649790437028223e-02
-6.372745490981964522e+00 1.051395306828930287e-01 -9.441572904096003430e-03
-6.292585170340682765e+00 1.089606511749172807e-01 -1.024245377728082336e-03
-6.212424849699399232e+00 1.121514915248459504e-01 7.949162542626946049e-03
-6.132264529058117475e+00 1.146458379021304264e-01 1.743501341196554769e-02
-6.052104208416833941e+00 1.163800835211293155e-01 2.738237384017870590e-02
-5.971943887775552184e+00 1.172940046485966281e-01 3.773311198430121666e-02
-5.891783567134268651e+00 1.173315427212190676e-01 4.842207620544290020e-02
-5.811623246492986894e+00 1.164415841498653709e-01 5.937735712763081430e-02
-5.731462925851703361e+00 1.145787289873769904e-01 7.052063446475986819e-02
-5.651302605210421603e+00 1.117040393267674236e-01 8.176760905076424502e-02
-5.571142284569138070e+00 1.077857580849849034e-01 9.302851952628667098e-02
-5.490981963927856313e+00 1.027999887213717073e-01 1.042087421128509300e-01
-5.410821643286574556e+00 9.673132644595190677e-02 1.152094708543060647e-01
-5.330661322645291023e+00 8.957343159581582226e-02 1.259284746373745822e-01
-5.250501002004009266e+00 8.132953610187237947e-02 1.362609262316664127e-01
-5.170340681362725732e+00 7.201287433537659211e-02 1.461002975282291172e-01
-5.090180360721443975e+00 6.164703011460995197e-02 1.553393141188056659e-01
-5.010020040080160442e+00 5.026619226590593043e-02 1.638709613599839132e-01
-4.929859719438878685e+00 3.791531186724310387e-02 1.715895331218893760e-01
-4.849699398797595151e+00 2.465015515241289479e-02 1.783917135445148294e-01
-4.769539078156313394e+00 1.053724701320284118e-02 1.841776813302976323e-01
-4.689378757515029861e+00 -4.346298901837308999e-03 1.888522254028086045e-01
-4.609218436873748104e+00 -1.991306634018052274e-02 1.923258601712259097e-01
-4.529058116232466347e+00 -3.606574046360076780e-02 1.945159281705773346e-01
-4.448897795591182813e+00 -5.269763004346490753e-02 1.953476775092455042e-01
-4.368737474949901056e+00 -6.969330678810943536e-02 1.947553013573513347e-01
-4.288577154308617523e+00 -8.692935936225613947e-02 1.926829266601717827e-01
-4.208416833667335766e+00 -1.042752582411139162e-01 1.890855393658401884e-01
-4.128256513026052232e+00 -1.215943261197418718e-01 1.839298337204812728e-01
-4.048096192384770475e+00 -1.387448071893926937e-01 1.771949736089317717e-01
-3.967935871743488718e+00 -1.555810272155087604e-01 1.688732545054683898e-01
-3.887775551102205185e+00 -1.719546350254358147e-01 1.589706553445698056e-01
-3.807615230460921651e+00 -1.877159147564840813e-01 1.475072705224801939e-01
-3.727454909819641671e+00 -2.027151570450098084e-01 1.345176132898509014e-01
-3.647294589178358137e+00 -2.168040762724939841e-01 1.200507829854241676e-01
-3.567134268537074604e+00 -2.298372600420748313e-01 1.041704898798669759e-01
-3.486973947895791071e+00 -2.416736362544869288e-01 8.695493283462889245e-02
-3.406813627254511090e+00 -2.521779425002478869e-01 6.849652651841202367e-02
-3.326653306613227556e+00 -2.612221819981319637e-01 4.890147654688380835e-02
-3.246492985971944023e+00 -2.686870499994054029e-01 2.828920260155121449e-02
-3.166332665330660490e+00 -2.744633144520014501e-01 6.791611321586101847e-03
-3.086172344689380509e+00 -2.784531347854502514e-01 -1.544777747279394917e-02
-3.006012024048096976e+00 -2.805713029403890113e-01 -3.827484589680915650e-02
-2.925851703406813442e+00 -2.807463912276678131e-01 -6.152602737595717908e-02
-2.845691382765533461e+00 -2.789217922607613032e-01 -8.502958148459043020e-02
-2.765531062124249928e+00 -2.750566370579849429e-01 -1.086069838029007362e-01
-2.685370741482966395e+00 -2.691265784519091819e-01 -1.320744187811828951e-01
-2.605210420841682861e+00 -2.611244281636637687e-01 -1.552443621412045449e-01
-2.525050100200402881e+00 -2.510606372882914217e-01 -1.779272380130528519e-01
